Materias
ADMON. CUANTITATIVA DE RIESGOS
"ADMON. DE OPERACIONES, I"
"ADMON. DE OPERACIONES, II"
ADMON. DE PORTAF. DE INVERSION
ADMON. ESTRATEGICA DE COSTOS
ADMON. INTERNACIONAL
ADMON. Y EVALUA. DE PROYECTOS
"ALEMAN, I"
"ALG. LINEAL, II (ALG. LINEAL)"
"ALGEB. LINEAL, I (GEO ANA. II)"
ALGEBRA MATRICIAL
"ALGEBRA SUPERIOR, I"
"ALGEBRA SUPERIOR, II"
ALGORITMICA Y PROGRAMACION
ALGORITMOS NUM. POR COMPU.
ALGORITMOS Y PROGRAMAS
AMERICA LATINA
ANAL. ECON. DEL DER. II
ANAL. ECONOMICO DEL DERECHO I
ANAL. FINANCIERO DE LA EMPRESA
"ANALISIS APLICADO, I"
ANALISIS DE INVERSIONES
ANALISIS MATEMATICO II
"ANALISIS MATEMATICO, I"
"ANALISIS MATEMATICO,IV"
ANALISIS MULTIVARIADO (OP)
ANALISIS Y DIS. DE SIS.DE INFO
APLIC. TI EN LOS NEGOCIOS
ARGUMENTAC. ORAL Y ESCRITA
ARQUITECTURA DE COMPUTADORAS
ARQUITECTURA DE LA EMPRESA
"ARTE, PODER Y CULTURA"
ASALTO A LA RAC Y PENSAM DEBIL
AUDITORIA DE ESTADOS FINANCS.
AUTOMAT. Y CONTROL DE PROCESOS
BASES DE DATOS
BIENES Y DERECHOS REALES
"CALCULO  NUMERICO,I"
CALCULO ACTUARIAL I
CALCULO ACTUARIAL II
CALCULO ACTUARIAL III
"CALCULO DE PROBABILIDADES.,I"
"CALCULO DE PROBABILIDADES.,II"
"CALCULO DIF. E INT., I"
"CALCULO DIF. E INT., II"
"CALCULO DIF. E INT., III"
CALCULO I
"CALCULO, II"
"CALCULO, III"
CIENCIAS DE LOS MATERIALES
CLIN LEGAL CTRO ACCESO  JUSTIC
CLIN.CONTRA TRATA DE PERSONAS
COMBINACION DE NEGOCIOS
COMPILADORES
COMPORTAMIENTO DEL CONSUMIDOR
"COMPORTAMIENTO HUMANO, I"
"COMPORTAMIENTO HUMANO, II"
"COMPUTACION I, INTENSIVA"
"COMPUTACION, II"
COMPUTO DISTRIBUIDO
COMUNICACIONES INALAMBRICAS
COMUNICACIONES MOVILES
CONT.Y VALUAC. DE INSTR. FINAN
"CONTABILIDAD ADMINISTRATIVA, I"
"CONTABILIDAD ADMINISTRATIVA,II"
CONTABILIDAD DE COSTOS
CONTABILIDAD DE COSTOS P/ING.
CONTABILIDAD GERENCIAL
"CONTABILIDAD INTERMEDIA, I"
"CONTABILIDAD INTERMEDIA, II"
CONTABILIDAD INTERNACIONAL
"CONTABILIDAD, I"
CONTRALORIA
CONTRATOS
CONTRATOS FINANC. COMPARADOS
COSTOS PARA TOMA DE DECISIONES
CRECIMIENTO ECONOMICO
DELITOS
"DER. INTERNACIONAL PUBLICO,I"
"DER. INTERNACIONAL PUBLICO,II"
DERECHO ADMINISTRATIVO I
DERECHO ADMINISTRATIVO II
"DERECHO CONSTITUCIONAL, II"
"DERECHO CONSTITUCIONAL, III"
"DERECHO CONSTITUCIONAL,I"
DERECHO CORPORATIVO
DERECHO DE LOS TRATADOS
